number,team1,team2,acquisition1,acquisition2,date
1,Jordan,Logan,acquired T.Hall,acquired D.Krejci and B.Marchand,8/23/2013
2,Alex,Pasha,acquired G.Landeskog and P.Bergeron,acquired Oshie and W.Simmonds,8/30/2013
3,Sarah,Jon,acquired D.Boyle ,acquired 2015 7th Round Pick,8/31/2013
4,Alex,Jon,acquired J.Toews,acquired J.Tavares,8/31/2013
5,Jordan,Pasha,"acquired A.Ovechkin, A.Kopitar, J.Howard","acquired C.Giroux, H.Sedin, D.Keith, J.Franzen, C.Anderson ",9/1/2013
6,Jon,Pasha,"acquired T.Ennis, 2015 3rd Round Pick, 2014 9th Round Pick",acquired P.Dupuis,9/6/2013
7,Pasha,Sarah,acquired J.Voracek and P.Elias,acquired L.Couture and J.Franzen,9/6/2013
8,Alex,Pasha,acquired P.Berglund and K.Bieksa,acquired M.Del Zotto and B.Richards,10/1/2013
9,Sarah,Jon,acquired J.Spezza and J.Pavelski,acquired N.Kadri and B.Seabrook,10/4/2013
10,Alex,Jon,"acquired F.Beauchemin, J.Staal, 2014 6th Round Pick, and 2014 4th Round Pick",acquired K.Shattenkirk and 2014 5th Round Pick,11/19/2013
11,Jordan,Sarah,acquired B.Burns,acquired V.Filppula and S.Downie,11/22/2013
12,Jordan,Sarah,acquried M.Duchene (Sarah) and K.Turris (Pasha),"acquired J.Voracek, 2014 5th Round Pick (Pasha), R.Callahan, S.Voynov, 2014 3rd Round Pick (Jordan)",3/7/2014
13,Pasha,(3-Way),acquired M.Pacioretty (Jordan) and J.Spezza (Sarah),-,
14,Sarah,Jon,acquired R.Kesler and 2014 5th Round Pick,acquired C.Schneider and 2014 3rd Round Pick,3/7/2014
15,Jordan,Jon,acquired A.Khudobin,acquired 2014 4th Round Pick,3/7/2014
16,Jordan,Jon,acquired A.Markov,acquired 2015 4th Round Pick,3/7/2014
17,Sarah,Alex,"acquired D. Girardi, St.Louis, and 2014 6th Round Pick (originally Jon's)",acquired B.Ryan and A.Edler,6/8/2014
18,Pasha,Sasha,acquired J.McGinn,acquired M.Read,6/28/2014
19,Sasha,Sarah,"acquired L.Couture, J.Voracek, R.Josi, M.Gaborik","acquired T.Seguin, D.Krejci, J.Silfverberg, J.Carlson",6/28/2014
20,Pasha,Sasha,acquired B.Marchand and A.Vermette,acquired J.Williams and M.Boedker,7/11/2014
21,Pasha,Alex,acquired S.Hartnell,acquired 2015 5th Round Pick and M.Moulson,7/17/2014
22,Pasha,Sasha,"acquired J.Pominville, M.Grigorenko, 2014 3rd Round Pick",acquired S.Hartnell and M.Del Zotto,7/25/2014
23,Jordan,Sarah,acquired 2014 3rd Round Pick (originally Jordan's) and 2014  6th Round Pick,acquired N.Bonino and S.Doan,8/12/2014
24,Jordan,Sasha,acquired 2014 5th Round Pick,acquired L.Eriksson,8/12/2014
25,Alex,Jordan,acquired 2014 5th Round Pick (originally Sasha's),acquired D.Nurse,8/17/2014
26,Pasha,Sasha,"acquired B.Little, C.Ceci, and 2015 10th Round Pick",acquired O.Palat and M.Streit,9/28/2014
27,Pasha,Jon,acquired N.Kadri and 2015 4th Round Pick,acquired J.Spurgeon,11/11/2014
28,Jordan,Sarah,"acquired T.Seguin, J.Schwartz, and 2015 2nd Round Pick",acquired T.Hall and S.Weber,11/22/2014
29,Jordan,Sarah,acquired J.Carlson,acquired K.Yandle and a conditional 2015 5th Round Pick (if Yandle is traded in 2015 pick returns),1/31/2015
30,Jordan,Sasha,acquired D.Stepan and L.Couture,acquired R.McDonagh and M.Duchene,2/1/2015
31,Sasha,Jon,"acquired N.Mackinnon, R.Lehner, M.Rielly, and 2015 10th Round Pick",acquired R.Josi,2/1/2015
32,Sasha,Alex,acquired K.Palmieri,acquired M.Backlund,2/1/2015
33,Pasha,Sarah,acquired 2015 8th Round Pick,acquired T.Daley,2/1/2015
34,Jon,Sasha,acquired L.Eriksson,acquired a 2015 8th Round Pick,2/1/2015
35,Alex,Jordan,"acquired A.Pietrangelo, J.Eberle, S.Bennett, 2015 1st Round Pick and 2016 1st Round Pick",acquired 2015 First Round Pick (1st Overall),4/22/2015
36,Pasha,Jordan,"acquired K.Turris, T.Brodie, and 2015 3rd Round ","acquired J.Faulk, B.Dubinksy, K.Fiala, and 2015 4th Round Pick (originally Jon's)",5/6/2015
37,Sarah,Jordan,acquired B.Schenn,acquired Conditional 2016 4th Round Pick (pick turns into 3rd if Schenn scores 60 points in 15-16),7/5/2015
38,Sasha,Alex,acquired 2015 Second Round Pick,acquired 2015 Second Round Pick and M.Hutchinson,7/10/2015
39,Sarah,Sasha,acquired M.Marner and J.Silfverberg,acquired P.Zacha and A.Mantha,7/19/2015
40,Jon,(3-Way),acquired N.Hanifin,-,
41,Jon,Pasha,acquired H.Sedin,acquired 2015 7th Round Pick,7/19/2015
42,Sarah,Pasha,acquired 2015 7th Round Pick (originally Sarah's traded in the Boyle Trade) and 2015 10th Round Pick (Orignally Sasha's),acquired J.Skinner,7/19/2015
43,Jordan,Alex,acquired O.Ekman-Larsson,acquired J.Faulk,7/19/2015
44,Pasha,Sasha,acquired M Gaborik,acquired R.Ellis,12/25/2015
45,Pasha,Sarah,acquired R.Murray,acquired O.Maatta,1/16/2016
46,Alex,Pasha,acquired J.Eichel and 2016 3rd Round Pick,"acquired S.Stamkos, 2016 1st Round Pick (Formerly Jordan's), and 2016 6th Round Pick",1/16/2016
47,Sarah,Jordan,acquired J.Huberdeau and 2016 7th Round Pick,acquired R.O'Reilly and 2016 8th Round Pick,1/16/2016
48,Jordan,Alex,acquired J.Vans Riemsdyk and D.Larkin,acquired J.Allen and S.Jones,1/16/2016
49,Pasha ,Jon,acquired 2016 6th Round Pick,acquired J.Thornton,1/16/2016
50,Sasha,Jordan,"acquired L.Couture, D.Hamilton, K.Connor and 2016 2nd Round Pick",acquired 2016 1st Round Pick (2nd Overall) and 2016 2nd Round Pick,5/5/2016
51,Pasha,Alex,acquired S.Reinhart,acquired W.Nylander,5/5/2016
52,Alex,Jon,acquired 2016 1st Round Pick (3rd Overall),"acquired 2016 1st Round Pick (5th Overall), 2016 5th Round Pick and 2018 1st Round Pick",6/17/2016
53,Pasha,Sasha,acquired R.Nugent-Hopkins and 2016 3rd Round Pick ,"acquired 2016 2nd Round Pick, 2016 4th Round Pick and 2016 6th Round Pick (Formerly Alex's)",6/20/2016
54,Pasha,Jordan,acquired R.Ellis,acquired B.Gallagher,6/21/2016
55,Jordan,Jon,"acquired P.K. Subban, 2016 9th Round Pick and 2016 10th Round Pick","acquired S.Vatanen, J.Schwartz and 2016 8th Round Pick (formerly Sarah's)",6/30/2016
56,Sasha,Alex,acquired N.Leddy and E.Kane,"acquired K.Palmieri, 2016 2nd Round Pick and 2016 4th Round Pick",7/3/2016
57,Sasha ,Jon,acquired C.Schneider and 2017 5th Round Pick,acquired B.Horvat and A.Mantha,7/3/2016
58,Jon,Sasha,acquired 2017 8th Round Pick,acquired 2016 8th Round Pick,7/3/2016
59,Pasha,Sarah,acquired 2016 9th Round Pick ,acquired J.Abelkader ,7/3/2016
60,Sarah,Pasha,acquired N.Kadri,acquired 2017 6th Round Pick,7/3/2016
61,Sasha,Jordan,"acquired S.Monahan, J.Carlson and J.Drouin","acquired N.Mackinnon, M.Rielly and I.Provorov",9/4/2016
62,Pasha,Sasha,acquired P.Buchenevich and 2017 10th Round Pick,acquired H.Zetterberg,9/5/2016
63,Alex,Jordan,acquired N.Mackinnon and D.Larkin,acquired D.Byfuglien and C.Parayko,11/30/2016
64,Sasha,Pasha,acquired J.Spezza,acquired Z.Parise,2/4/2017
65,Sasha,Sarah,"acquired R.Fabbri, K.Yandle, and T.Meier","acquired M.Hoffman, J.Vesey, and R.Spooner",2/4/2017
66,Sasha,Alex,acquired T.Rask,Acquired 2017 and 2018 2nd Round Picks,2/4/2017
67,Sasha,Sarah,acquired T.Pearson,acquired B.Nelson,2/4/2017
